Size;Time [ms];TimeStd;Comparisons;ComparisonsStd;Swaps;SwapsStd;AlwaysSorted;AlwaysStable
0;0,050000000000;0,217944947177;0,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
2;0,000000000000;0,000000000000;1,000000000000;0,000000000000;0,500000000000;0,500000000000;true;true
4;0,050000000000;0,217944947177;7,550000000000;1,071214264281;2,350000000000;1,492481155660;true;true
8;0,050000000000;0,217944947177;37,550000000000;3,338787204959;17,150000000000;3,798354907062;true;true
16;0,000000000000;0,000000000000;136,200000000000;12,647529403010;61,200000000000;10,107423014795;true;true
32;0,000000000000;0,000000000000;519,000000000000;42,014283285567;243,650000000000;29,933718445926;true;true
64;0,100000000000;0,300000000000;1932,200000000000;150,603984011045;1004,950000000000;73,905666223913;true;true
128;0,300000000000;0,714142842854;7687,500000000000;695,318524131203;4045,500000000000;294,095137668067;true;true
256;0,550000000000;0,497493718553;29441,200000000004;1410,248332741272;16056,099999999999;725,719980433231;true;true
512;0,700000000000;0,556776436283;116908,900000000000;4803,476937594522;64926,200000000004;2372,638817856515;true;true
1024;1,650000000000;0,476969600708;467355,900000000000;10977,547380448432;260858,050000000020;5066,701781978306;true;true
2048;7,150000000000;0,852936105462;1852254,200000000200;32579,568848587656;1042694,150000000000;12929,533047543313;true;true
4096;30,650000000000;1,013656746636;7358013,800000001000;92561,275370148390;4174050,699999999300;39509,507995109550;true;true
8192;134,100000000000;2,791057147391;29399832,400000002000;250586,556619913260;16674618,400000000000;123059,106002969160;true;true
16384;648,950000000000;6,119436248569;117596562,350000010000;979075,516141630400;66682418,600000000000;454641,584577345930;true;true
