LOAD FACTOR
 ;0.1;0.2;0.5;0.9
0;0,0;0,0;0,0;0,0
1;0,1;0,1;0,1;0,1
2;0,1;0,2;0,2;0,2
3;0,075;0,15;0,3;0,3
4;0,1;0,2;0,4;0,4
5;0,0625;0,125;0,5;0,5
6;0,075;0,15;0,3;0,6
7;0,0875;0,175;0,35;0,7
8;0,1;0,2;0,4;0,8
9;0,05625;0,1125;0,45;0,9
10;0,0625;0,125;0,5;0,5
11;0,06875;0,1375;0,275;0,55
12;0,075;0,15;0,3;0,6
13;0,08125;0,1625;0,325;0,65
14;0,0875;0,175;0,35;0,7
15;0,09375;0,1875;0,375;0,75
16;0,1;0,2;0,4;0,8
17;0,053125;0,10625;0,425;0,85
18;0,05625;0,1125;0,45;0,9
19;0,059375;0,11875;0,475;0,475

COLLISIONS
 ;0.1;0.2;0.5;0.9
0;0;0;0;0
1;0;0;0;0
2;0;0;0;1
3;0;0;0;1
4;0;0;1;1
5;1;0;2;2
6;1;1;2;2
7;1;1;2;3
8;2;1;2;4
9;4;2;2;5
10;4;3;3;7
11;5;3;5;8
12;5;3;5;8
13;5;4;5;9
14;6;5;6;9
15;6;6;7;9
16;7;6;8;10
17;12;11;8;11
18;12;11;9;12
19;12;11;10;18

HASH FUNCTION EVALUATIONS
 ;0.1;0.2;0.5;0.9
0;0;0;0;0
1;1;1;1;1
2;3;2;2;3
3;6;5;3;4
4;7;6;5;5
5;13;11;7;7
6;14;13;13;8
7;15;14;14;11
8;17;15;15;13
9;28;25;16;21
10;29;27;18;37
11;32;28;31;43
12;33;29;32;44
13;34;32;33;56
14;36;34;37;57
15;37;36;43;58
16;41;37;47;61
17;66;60;48;63
18;67;61;51;78
19;68;62;59;115

INSERT COMPARISONS
 ;0.1;0.2;0.5;0.9
0;0;0;0;0
1;1;1;1;1
2;3;2;2;3
3;6;5;3;4
4;7;6;5;5
5;13;11;7;7
6;14;13;13;8
7;15;14;14;11
8;17;15;15;13
9;28;25;16;21
10;29;27;18;37
11;32;28;31;43
12;33;29;32;44
13;34;32;33;56
14;36;34;37;57
15;37;36;43;58
16;41;37;47;61
17;66;60;48;63
18;67;61;51;78
19;68;62;59;115
