LOAD FACTOR
 ;0.1;0.2;0.5;0.9
0;0,0;0,0;0,0;0,0
1;0,1;0,1;0,1;0,1
2;0,1;0,2;0,2;0,2
3;0,075;0,15;0,3;0,3
4;0,1;0,2;0,4;0,4
5;0,0625;0,125;0,5;0,5
6;0,075;0,15;0,3;0,6
7;0,0875;0,175;0,35;0,7
8;0,1;0,2;0,4;0,8
9;0,05625;0,1125;0,45;0,9
10;0,0625;0,125;0,5;0,5
11;0,06875;0,1375;0,275;0,55
12;0,075;0,15;0,3;0,6
13;0,08125;0,1625;0,325;0,65
14;0,0875;0,175;0,35;0,7
15;0,09375;0,1875;0,375;0,75
16;0,1;0,2;0,4;0,8
17;0,053125;0,10625;0,425;0,85
18;0,05625;0,1125;0,45;0,9
19;0,059375;0,11875;0,475;0,475

COLLISIONS
 ;0.1;0.2;0.5;0.9
0;0;0;0;0
1;0;0;0;0
2;0;0;0;0
3;1;1;0;1
4;1;1;1;2
5;2;1;2;2
6;2;2;3;3
7;2;2;4;4
8;3;3;4;5
9;5;5;5;6
10;5;5;6;12
11;5;6;10;12
12;5;7;11;12
13;5;7;11;13
14;6;8;12;13
15;7;9;13;14
16;8;9;13;15
17;13;12;13;16
18;13;13;14;16
19;14;14;15;23

HASH FUNCTION EVALUATIONS
 ;0.1;0.2;0.5;0.9
0;0;0;0;0
1;1;1;1;1
2;3;2;2;2
3;7;6;3;4
4;8;7;5;8
5;14;12;9;9
6;15;14;16;14
7;16;15;19;18
8;18;18;20;20
9;29;30;24;22
10;30;31;28;42
11;31;33;44;43
12;32;36;46;44
13;33;37;47;49
14;35;39;49;50
15;37;41;51;53
16;40;42;52;55
17;63;63;53;57
18;64;66;59;58
19;67;69;63;86

INSERT COMPARISONS
 ;0.1;0.2;0.5;0.9
0;0;0;0;0
1;1;1;1;1
2;3;2;2;2
3;7;6;3;4
4;8;7;5;8
5;14;12;9;9
6;15;14;16;14
7;16;15;19;18
8;18;18;20;20
9;29;30;24;22
10;30;31;28;42
11;31;33;44;43
12;32;36;46;44
13;33;37;47;49
14;35;39;49;50
15;37;41;51;53
16;40;42;52;55
17;63;63;53;57
18;64;66;59;58
19;67;69;63;86
